species	local_genome_fasta_file	source	fasta_parent_url	remote_genome_fasta_file	status	note
Heterocephalus_glaber	GCF_000247695.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/695/GCF_000247695.1_HetGla_female_1.0/	GCF_000247695.1_HetGla_female_1.0_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Homo_sapiens		NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/	GCF_000001405.40_GRCh38.p14_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Hordeum_vulgare	GCF_904849725.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/904/849/725/GCF_904849725.1_MorexV3_pseudomolecules_assembly/	GCF_904849725.1_MorexV3_pseudomolecules_assembly_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Hydra_vulgaris	GCF_037890685.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/890/685/GCF_037890685.1_HydraT2T_105/	GCF_037890685.1_HydraT2T_105_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Limulus_polyphemus	GCF_000517525.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/525/GCF_000517525.1_Limulus_polyphemus-2.1.2/	GCF_000517525.1_Limulus_polyphemus-2.1.2_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Lottia_gigantea	GCF_000327385.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/385/GCF_000327385.1_Helro1/	GCF_000327385.1_Helro1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Lotus_japonicus	GCF_012489685.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/489/685/GCF_012489685.1_LjGifu_v1.2/	GCF_012489685.1_LjGifu_v1.2_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Macaca_fascicularis	GCF_037993035.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/993/035/GCF_037993035.2_T2T-MFA8v1.1/	GCF_037993035.2_T2T-MFA8v1.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Macaca_mulatta	GCF_049350105.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/350/105/GCF_049350105.2_T2T-MMU8v2.0/	GCF_049350105.2_T2T-MMU8v2.0_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Malus_domestica	GCF_042453785.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/453/785/GCF_042453785.1_GDT2T_hap1/	GCF_042453785.1_GDT2T_hap1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Monodelphis_domestica	GCF_027887165.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/165/GCF_027887165.1_mMonDom1.pri/	GCF_027887165.1_mMonDom1.pri_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Mus_musculus		NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.27_GRCm39/	GCF_000001635.27_GRCm39_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Naja_naja	GCA_009733165.1_Nana_v5_genomic.fasta	NCBI GenBank	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/733/165/GCA_009733165.1_Nana_v5/	GCA_009733165.1_Nana_v5_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Nasonia_vitripennis	GCF_009193385.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/193/385/GCF_009193385.2_Nvit_psr_1.1/	GCF_009193385.2_Nvit_psr_1.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Nelumbo_nucifera	GCF_000365185.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/365/185/GCF_000365185.1_Chinese_Lotus_1.1/	GCF_000365185.1_Chinese_Lotus_1.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Nematostella_vectensis	GCF_932526225.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/932/526/225/GCF_932526225.1_jaNemVect1.1/	GCF_932526225.1_jaNemVect1.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Nicotiana_tabacum	GCF_000715075.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/715/075/GCF_000715075.1_ASM71507v2/	GCF_000715075.1_ASM71507v2_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Octopus_bimaculoides	GCF_001194135.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/194/135/GCF_001194135.2_ASM119413v2/	GCF_001194135.2_ASM119413v2_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Octopus_vulgaris	GCA_951406725.2.fasta	NCBI GenBank	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/951/406/725/GCA_951406725.2_xcOctVulg1.2/	GCA_951406725.2_xcOctVulg1.2_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Olea_europaea	GCF_002742605.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/742/605/GCF_002742605.1_O_europaea_v1/	GCF_002742605.1_O_europaea_v1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Oncorhynchus_mykiss	GCF_013265735.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/265/735/GCF_013265735.2_USDA_OmykA_1.1/	GCF_013265735.2_USDA_OmykA_1.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Oreochromis_niloticus	GCF_001858045.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/858/045/GCF_001858045.2_O_niloticus_UMD_NMBU/	GCF_001858045.2_O_niloticus_UMD_NMBU_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Oryctolagus_cuniculus	GCF_964237555.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/237/555/GCF_964237555.1_mOryCun1.1/	GCF_964237555.1_mOryCun1.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Oryza_sativa	GCF_034140825.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/140/825/GCF_034140825.1_ASM3414082v1/	GCF_034140825.1_ASM3414082v1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Oryzias_latipes	GCF_053564925.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/564/925/GCF_053564925.1_Olatipes_Hd-rR_3.1/	GCF_053564925.1_Olatipes_Hd-rR_3.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Ovis_aries	GCF_016772045.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/772/045/GCF_016772045.2_ARS-UI_Ramb_v3.0/	GCF_016772045.2_ARS-UI_Ramb_v3.0_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Pan_troglodytes	GCF_028858775.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/858/775/GCF_028858775.2_NHGRI_mPanTro3-v2.1_pri/	GCF_028858775.2_NHGRI_mPanTro3-v2.1_pri_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Penaeus_monodon	GCF_015228065.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/228/065/GCF_015228065.2_NSTDA_Pmon_1/	GCF_015228065.2_NSTDA_Pmon_1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Penaeus_vannamei	GCF_042767895.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/767/895/GCF_042767895.1_ASM4276789v1/	GCF_042767895.1_ASM4276789v1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Phodopus_sungorus	GCF_000001635.27_GRCm39_genomic.fna	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.27_GRCm39/	GCF_000001635.27_GRCm39_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Plasmodium_falciparum	GCF_000002765.6.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/765/GCF_000002765.6_GCA_000002765/	GCF_000002765.6_GCA_000002765_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Plasmodium_yoelii	GCF_900002385.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/385/GCF_900002385.2_GCA_900002385/	GCF_900002385.2_GCA_900002385_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Pleurodeles_waltl	GCF_031143425.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/143/425/GCF_031143425.1_aPleWal1.hap1.20221129/	GCF_031143425.1_aPleWal1.hap1.20221129_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Pongo_abelii	GCF_028885655.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/885/655/GCF_028885655.2_NHGRI_mPonAbe1-v2.1_pri/	GCF_028885655.2_NHGRI_mPonAbe1-v2.1_pri_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Populus_trichocarpa	GCF_000002775.5.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/775/GCF_000002775.5_P.trichocarpa_v4.1/	GCF_000002775.5_P.trichocarpa_v4.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Rattus_norvegicus	GCF_036323735.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/323/735/GCF_036323735.1_GRCr8/	GCF_036323735.1_GRCr8_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Saccharomyces_cerevisiae	GCF_000146045.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/045/GCF_000146045.2_R64/	GCF_000146045.2_R64_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Salmo_salar	GCF_905237065.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/237/065/GCF_905237065.1_Ssal_v3.1/	GCF_905237065.1_Ssal_v3.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Schizosaccharomyces_pombe	GCF_000002945.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.2_ASM294v3/	GCF_000002945.2_ASM294v3_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Solanum_lycopersicum	GCF_036512215.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/512/215/GCF_036512215.1_SLM_r2.1/	GCF_036512215.1_SLM_r2.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Solanum_tuberosum	GCF_000226075.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/075/GCF_000226075.1_SolTub_3.0/	GCF_000226075.1_SolTub_3.0_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Sorghum_bicolor	GCF_000003195.3.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/195/GCF_000003195.3_Sorghum_bicolor_NCBIv3/	GCF_000003195.3_Sorghum_bicolor_NCBIv3_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Spinacia_oleracea	GCF_020520425.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/520/425/GCF_020520425.1_BTI_SOV_V1/	GCF_020520425.1_BTI_SOV_V1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Sus_scrofa	GCF_000003025.6.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/025/GCF_000003025.6_Sscrofa11.1/	GCF_000003025.6_Sscrofa11.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Taeniopygia_guttata	GCF_048771995.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/771/995/GCF_048771995.1_bTaeGut7.mat/	GCF_048771995.1_bTaeGut7.mat_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Toxoplasma_gondii	GCF_000006565.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/565/GCF_000006565.2_TGA4/	GCF_000006565.2_TGA4_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Triticum_aestivum	GCF_018294505.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/294/505/GCF_018294505.1_IWGSC_CS_RefSeq_v2.1/	GCF_018294505.1_IWGSC_CS_RefSeq_v2.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Vitis_vinifera	GCF_030704535.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/704/535/GCF_030704535.1_ASM3070453v1/	GCF_030704535.1_ASM3070453v1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Xenopus_laevis	GCF_017654675.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/654/675/GCF_017654675.1_Xenopus_laevis_v10.1/	GCF_017654675.1_Xenopus_laevis_v10.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Xenopus_tropicalis	GCF_000004195.4.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/195/GCF_000004195.4_UCB_Xtro_10.0/	GCF_000004195.4_UCB_Xtro_10.0_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Zea_mays	GCF_902167145.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/167/145/GCF_902167145.1_Zm-B73-REFERENCE-NAM-5.0/	GCF_902167145.1_Zm-B73-REFERENCE-NAM-5.0_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
